,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000112,0.000309,0.0,1e-06,6e-06,3.8e-05,0.002444
dr-ibt,500.0,0.000838,0.001189,0.0,0.000101,0.000392,0.001077,0.010167
dr-ibt (tau=0),500.0,0.015694,0.011195,0.0,0.006826,0.01315,0.022894,0.049815
dm,500.0,0.057604,0.008387,0.03836,0.051522,0.0574,0.063169,0.084029
dr,500.0,0.001508,0.003267,0.0,0.000133,0.00063,0.001731,0.057555
mrdr,500.0,0.000999,0.002504,0.0,0.000105,0.000379,0.001099,0.046936
dr-os (oracle),500.0,0.001146,0.002036,0.0,3.3e-05,0.000232,0.001374,0.014624
dr-os,500.0,0.001406,0.002061,0.0,0.000161,0.000622,0.001755,0.014624
switch-dr (oracle),500.0,0.000976,0.001815,0.0,4.1e-05,0.000267,0.001058,0.013898
switch-dr,500.0,0.001508,0.003267,0.0,0.000133,0.00063,0.001731,0.057555
