,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001005,0.002903,0.0,1e-06,1.8e-05,0.000504,0.02559
dr-ibt,500.0,0.005186,0.027909,0.0,0.000423,0.001708,0.00547,0.616051
dr-ibt (tau=0),500.0,0.013483,0.015605,0.0,0.001856,0.007955,0.019904,0.088105
dm,500.0,0.057261,0.015736,0.013858,0.046472,0.055855,0.067912,0.120745
dr,500.0,0.006639,0.035195,0.0,0.000539,0.002492,0.007112,0.777275
mrdr,500.0,0.005513,0.030879,0.0,0.000383,0.001825,0.005884,0.682993
dr-os (oracle),500.0,0.003497,0.00616,0.0,4.9e-05,0.000613,0.004417,0.040159
dr-os,500.0,0.00502,0.0067,0.0,0.000527,0.002382,0.0071,0.043111
switch-dr (oracle),500.0,0.003289,0.00585,0.0,0.000125,0.000638,0.003701,0.039171
switch-dr,500.0,0.006639,0.035195,0.0,0.000539,0.002492,0.007112,0.777275
