,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.002535,0.00497,0.0,6e-06,0.000412,0.002872,0.042757
dr-ibt,500.0,0.007584,0.053231,0.0,0.000408,0.002161,0.006016,1.0
dr-ibt (tau=0),500.0,0.011179,0.014529,0.0,0.001405,0.005302,0.014573,0.095739
dm,500.0,0.004688,0.004582,0.0,0.001174,0.003507,0.006434,0.029507
dr,500.0,0.007808,0.041491,0.0,0.000583,0.00218,0.006322,0.778873
mrdr,500.0,0.006925,0.041566,0.0,0.000491,0.002274,0.006755,0.919561
dr-os (oracle),500.0,0.000589,0.001577,0.0,7e-06,6.6e-05,0.000277,0.014121
dr-os,500.0,0.004518,0.006055,0.0,0.000454,0.00209,0.006408,0.042203
switch-dr (oracle),500.0,0.000434,0.000941,0.0,1e-05,7.7e-05,0.000363,0.007112
switch-dr,500.0,0.006248,0.028646,0.0,0.000553,0.002231,0.006664,0.60239
