,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000217,0.000666,0.0,1e-06,4e-06,5.2e-05,0.006006
dr-ibt,500.0,0.001891,0.00445,0.0,0.000165,0.000885,0.002338,0.086684
dr-ibt (tau=0),500.0,0.008557,0.008568,1e-06,0.001592,0.005461,0.013256,0.042728
dm,500.0,0.057471,0.011842,0.029004,0.04956,0.056856,0.065085,0.091637
dr,500.0,0.003086,0.010584,0.0,0.000306,0.00117,0.003245,0.223396
mrdr,500.0,0.002049,0.004852,0.0,0.000165,0.000756,0.002469,0.090123
dr-os (oracle),500.0,0.0018,0.003226,0.0,5.6e-05,0.000419,0.002071,0.020328
dr-os,500.0,0.002571,0.003559,0.0,0.000271,0.001223,0.003435,0.020328
switch-dr (oracle),500.0,0.00164,0.002983,0.0,9.1e-05,0.000419,0.001842,0.019477
switch-dr,500.0,0.003086,0.010584,0.0,0.000306,0.00117,0.003245,0.223396
