,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.005835,0.011782,0.0,9e-06,0.000731,0.005942,0.105416
dr-ibt,500.0,0.014679,0.022428,0.0,0.001195,0.006604,0.020395,0.266546
dr-ibt (tau=0),500.0,0.01438,0.019335,0.0,0.002051,0.006768,0.020063,0.152329
dm,500.0,0.012503,0.015094,0.0,0.001416,0.00705,0.018122,0.093218
dr,500.0,0.019717,0.032974,1e-06,0.002198,0.008706,0.023612,0.38054
mrdr,500.0,0.023316,0.034882,0.0,0.002415,0.010421,0.030489,0.291556
dr-os (oracle),500.0,0.004338,0.009348,0.0,5.1e-05,0.000494,0.003709,0.093537
dr-os,500.0,0.013705,0.021691,0.0,0.0012,0.006167,0.017795,0.287094
switch-dr (oracle),500.0,0.002821,0.006239,0.0,3.1e-05,0.000281,0.002257,0.049723
switch-dr,500.0,0.014991,0.022028,0.0,0.001701,0.006899,0.019607,0.232761
