,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00765,0.01378,0.0,1.6e-05,0.000916,0.009569,0.101802
dr-ibt,500.0,0.020501,0.049608,1e-06,0.002371,0.010476,0.027176,1.0
dr-ibt (tau=0),500.0,0.016925,0.019797,1e-06,0.002434,0.009796,0.024139,0.112405
dm,500.0,0.058283,0.031763,2.6e-05,0.033483,0.055508,0.076945,0.163732
dr,500.0,0.022879,0.051343,0.0,0.002679,0.011966,0.031218,1.0
mrdr,500.0,0.022275,0.032467,0.0,0.002958,0.011738,0.030961,0.369948
dr-os (oracle),500.0,0.011447,0.019638,0.0,0.000182,0.001581,0.014998,0.107253
dr-os,500.0,0.02007,0.025546,0.0,0.002445,0.010951,0.029874,0.18988
switch-dr (oracle),500.0,0.010525,0.017605,0.0,0.000476,0.002314,0.01317,0.101072
switch-dr,500.0,0.022879,0.051343,0.0,0.002679,0.011966,0.031218,1.0
