,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.069147,0.015319,0.031669,0.058637,0.068187,0.080281,0.115607
dr-ibt,500.0,0.069368,0.015477,0.031669,0.058637,0.068452,0.080303,0.115607
dr-ibt (tau=0),500.0,0.114415,0.016376,0.068422,0.102701,0.11467,0.126112,0.159362
dm,500.0,0.171031,0.01811,0.122351,0.158799,0.17025,0.182447,0.237201
dr,500.0,0.068696,0.015249,0.026143,0.058593,0.067576,0.07819,0.121997
mrdr,500.0,0.068979,0.014775,0.028199,0.058374,0.067992,0.078864,0.118367
dr-os (oracle),500.0,0.070248,0.015389,0.029831,0.059315,0.069405,0.081326,0.13008
dr-os,500.0,0.070334,0.015404,0.029831,0.059511,0.069505,0.08147,0.13008
switch-dr (oracle),500.0,0.068265,0.014379,0.028926,0.058895,0.067691,0.076843,0.119637
switch-dr,500.0,0.069252,0.014593,0.028926,0.059182,0.069215,0.078085,0.120698
