,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000136,0.000229,0.0,1.9e-05,7.8e-05,0.000161,0.003396
dr-ibt,500.0,0.001531,0.001746,0.0,0.000228,0.000926,0.002278,0.012596
dr-ibt (tau=0),500.0,0.031639,0.007853,0.012103,0.02571,0.031433,0.03659,0.059735
dm,500.0,0.138752,0.017028,0.093157,0.126682,0.138982,0.150076,0.200647
dr,500.0,0.001531,0.001746,0.0,0.000228,0.000926,0.002278,0.012596
mrdr,500.0,0.000961,0.000631,3e-06,0.000469,0.000881,0.001291,0.003469
dr-os (oracle),500.0,0.00037,0.000426,0.0,3.1e-05,0.000181,0.000614,0.002259
dr-os,500.0,0.001343,0.001596,0.0,0.000186,0.000782,0.001999,0.011797
switch-dr (oracle),500.0,0.000374,0.000501,0.0,3.1e-05,0.000179,0.000513,0.004119
switch-dr,500.0,0.001531,0.001746,0.0,0.000228,0.000926,0.002278,0.012596
