,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.066249,0.01379,0.023914,0.056398,0.065811,0.075168,0.11747
dr-ibt,500.0,0.066419,0.013852,0.023914,0.057079,0.065811,0.075198,0.11747
dr-ibt (tau=0),500.0,0.113113,0.014926,0.071436,0.102871,0.112924,0.121816,0.168056
dm,500.0,0.171324,0.017926,0.120891,0.158637,0.171322,0.183527,0.229658
dr,500.0,0.065291,0.014032,0.032062,0.054654,0.064334,0.07447,0.11625
mrdr,500.0,0.065387,0.013893,0.030795,0.055664,0.064323,0.074136,0.122447
dr-os (oracle),500.0,0.066141,0.014013,0.030921,0.056141,0.064748,0.075661,0.112325
dr-os,500.0,0.066141,0.014013,0.030921,0.056141,0.064748,0.075661,0.112325
switch-dr (oracle),500.0,0.066178,0.015388,0.030914,0.055351,0.065439,0.07638,0.115573
switch-dr,500.0,0.066556,0.015529,0.030914,0.055736,0.065644,0.07682,0.115573
