,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000616,0.001017,0.0,5.8e-05,0.00022,0.000682,0.006428
dr-ibt,500.0,0.000757,0.001115,0.0,7.2e-05,0.00026,0.000968,0.006428
dr-ibt (tau=0),500.0,0.042927,0.0089,0.018887,0.036944,0.042587,0.048877,0.068436
dm,500.0,0.162705,0.017159,0.115838,0.150349,0.163111,0.175211,0.203558
dr,500.0,0.000757,0.001115,0.0,7.2e-05,0.00026,0.000968,0.006428
mrdr,500.0,0.000153,0.000235,0.0,1.7e-05,6.5e-05,0.000187,0.002321
dr-os (oracle),500.0,0.000643,0.001128,0.0,2.4e-05,0.000172,0.000723,0.006814
dr-os,500.0,0.000797,0.001173,0.0,6.7e-05,0.000296,0.000992,0.006814
switch-dr (oracle),500.0,0.000572,0.001032,0.0,3.2e-05,0.00013,0.000619,0.006428
switch-dr,500.0,0.000757,0.001115,0.0,7.2e-05,0.00026,0.000968,0.006428
