,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000397,0.001096,0.0,1e-05,4.8e-05,0.000175,0.012772
dr-ibt,500.0,0.001569,0.002065,0.0,0.000153,0.000742,0.002158,0.013963
dr-ibt (tau=0),500.0,0.035393,0.012964,0.006119,0.025791,0.034407,0.042881,0.088666
dm,500.0,0.147841,0.02944,0.069183,0.127984,0.146858,0.166464,0.232809
dr,500.0,0.001569,0.002065,0.0,0.000153,0.000742,0.002158,0.013963
mrdr,500.0,0.000524,0.000637,0.0,6.6e-05,0.000314,0.000743,0.004581
dr-os (oracle),500.0,0.000575,0.00119,0.0,3.1e-05,0.000165,0.00056,0.01348
dr-os,500.0,0.001478,0.001974,0.0,0.000168,0.000668,0.002072,0.01348
switch-dr (oracle),500.0,0.000759,0.001335,0.0,3.8e-05,0.000204,0.000848,0.012773
switch-dr,500.0,0.001569,0.002065,0.0,0.000153,0.000742,0.002158,0.013963
