,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00016,0.000194,0.0,2.7e-05,0.000102,0.000219,0.00161
dr-ibt,500.0,0.001612,0.002882,0.0,0.000211,0.000832,0.002094,0.041544
dr-ibt (tau=0),500.0,0.035392,0.006876,0.013872,0.030402,0.035134,0.040169,0.054402
dm,500.0,0.144101,0.013738,0.092135,0.134631,0.143876,0.154555,0.18548
dr,500.0,0.001612,0.002882,0.0,0.000211,0.000832,0.002094,0.041544
mrdr,500.0,0.001062,0.001443,0.0,0.000468,0.00082,0.001259,0.016363
dr-os (oracle),500.0,0.000235,0.00027,0.0,2.4e-05,0.000134,0.000365,0.001856
dr-os,500.0,0.001242,0.001943,0.0,0.000168,0.000685,0.001741,0.030823
switch-dr (oracle),500.0,0.000217,0.000313,0.0,1.1e-05,7.8e-05,0.000294,0.001835
switch-dr,500.0,0.001612,0.002882,0.0,0.000211,0.000832,0.002094,0.041544
