,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.057489,0.02432,0.005526,0.039999,0.055468,0.073047,0.149117
dr-ibt,500.0,0.058701,0.02659,0.005526,0.040589,0.055836,0.074105,0.212246
dr-ibt (tau=0),500.0,0.100159,0.025651,0.03884,0.08095,0.099612,0.116969,0.186909
dm,500.0,0.154889,0.030469,0.079067,0.13439,0.153885,0.175894,0.236849
dr,500.0,0.059094,0.023677,0.014201,0.041858,0.056601,0.072418,0.159772
mrdr,500.0,0.058796,0.023464,0.004124,0.041222,0.055983,0.072852,0.15156
dr-os (oracle),500.0,0.059883,0.023713,0.008823,0.042129,0.057329,0.074745,0.169338
dr-os,500.0,0.06018,0.024255,0.008823,0.042129,0.057625,0.074834,0.169338
switch-dr (oracle),500.0,0.056172,0.022622,0.00464,0.040782,0.055013,0.069718,0.153862
switch-dr,500.0,0.058061,0.025453,0.00464,0.042108,0.055651,0.071538,0.219711
