,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00014,0.000314,0.0,1.4e-05,5.2e-05,0.000134,0.003262
dr-ibt,500.0,0.000941,0.001147,0.0,0.000114,0.000488,0.001375,0.006612
dr-ibt (tau=0),500.0,0.027401,0.007581,0.009449,0.02192,0.02696,0.032067,0.057515
dm,500.0,0.131205,0.018145,0.078448,0.119241,0.130795,0.143659,0.195802
dr,500.0,0.000941,0.001147,0.0,0.000114,0.000488,0.001375,0.006612
mrdr,500.0,0.000428,0.00042,0.0,0.000101,0.000297,0.000639,0.002342
dr-os (oracle),500.0,0.000184,0.000353,0.0,1.5e-05,7.7e-05,0.000224,0.003568
dr-os,500.0,0.000842,0.001045,0.0,9.4e-05,0.000413,0.00122,0.005997
switch-dr (oracle),500.0,0.000222,0.000381,0.0,1.2e-05,7.1e-05,0.000287,0.003262
switch-dr,500.0,0.000941,0.001147,0.0,0.000114,0.000488,0.001375,0.006612
