,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000236,0.000371,0.0,2.9e-05,0.000124,0.000276,0.003091
dr-ibt,500.0,0.000468,0.000674,0.0,5.9e-05,0.000237,0.000633,0.006713
dr-ibt (tau=0),500.0,0.041215,0.007601,0.017679,0.035498,0.041347,0.046836,0.065224
dm,500.0,0.161863,0.014906,0.111436,0.150889,0.162809,0.171761,0.201068
dr,500.0,0.000468,0.000674,0.0,5.9e-05,0.000237,0.000633,0.006713
mrdr,500.0,6.5e-05,8.9e-05,0.0,7e-06,2.9e-05,8.3e-05,0.000617
dr-os (oracle),500.0,0.00026,0.000438,0.0,1.2e-05,0.000101,0.000339,0.003418
dr-os,500.0,0.000449,0.000638,0.0,5.5e-05,0.000248,0.000614,0.006151
switch-dr (oracle),500.0,0.000212,0.00038,0.0,1.5e-05,7.8e-05,0.000235,0.003091
switch-dr,500.0,0.000468,0.000674,0.0,5.9e-05,0.000237,0.000633,0.006713
