,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.071605,0.026088,0.01199,0.052225,0.068891,0.087823,0.153844
dr-ibt,500.0,0.072309,0.026539,0.01199,0.052794,0.069069,0.088886,0.153844
dr-ibt (tau=0),500.0,0.115592,0.027147,0.037028,0.095205,0.114607,0.133207,0.206301
dm,500.0,0.170709,0.032646,0.087432,0.146307,0.168919,0.193976,0.278503
dr,500.0,0.070327,0.025386,0.018091,0.052208,0.069367,0.085509,0.156988
mrdr,500.0,0.070152,0.024239,0.017655,0.051966,0.068707,0.086277,0.156238
dr-os (oracle),500.0,0.071894,0.025166,0.011285,0.054958,0.069463,0.087902,0.168236
dr-os,500.0,0.071921,0.025186,0.011285,0.054958,0.069463,0.087902,0.168366
switch-dr (oracle),500.0,0.068211,0.025823,0.01482,0.047772,0.066143,0.084991,0.181721
switch-dr,500.0,0.069599,0.026398,0.015911,0.049432,0.067425,0.087038,0.181721
