,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.064494,0.014556,0.027358,0.054259,0.063185,0.073104,0.112985
dr-ibt,500.0,0.064695,0.01467,0.027358,0.054267,0.063448,0.073486,0.112985
dr-ibt (tau=0),500.0,0.112547,0.015583,0.077646,0.101255,0.110907,0.123043,0.164095
dm,500.0,0.171542,0.01761,0.12323,0.16001,0.170015,0.182976,0.223765
dr,500.0,0.062922,0.014407,0.027736,0.05245,0.061523,0.072206,0.106846
mrdr,500.0,0.063094,0.014193,0.030271,0.05283,0.062073,0.072232,0.111037
dr-os (oracle),500.0,0.064398,0.015138,0.033338,0.053252,0.062717,0.073481,0.112824
dr-os,500.0,0.064535,0.015327,0.033338,0.053252,0.06291,0.073512,0.113407
switch-dr (oracle),500.0,0.063348,0.013983,0.029397,0.054141,0.062561,0.071685,0.107873
switch-dr,500.0,0.063798,0.01424,0.028544,0.054141,0.062726,0.072085,0.107873
