,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.062279,0.023151,0.013997,0.044418,0.060405,0.076989,0.134768
dr-ibt,500.0,0.06299,0.023468,0.014,0.0454,0.061218,0.078854,0.134768
dr-ibt (tau=0),500.0,0.102938,0.025362,0.038548,0.083982,0.10265,0.119753,0.187191
dm,500.0,0.158981,0.031198,0.085635,0.136798,0.156851,0.181481,0.271377
dr,500.0,0.063646,0.023468,0.0154,0.046456,0.060642,0.078526,0.153766
mrdr,500.0,0.064377,0.031874,0.016845,0.045543,0.060472,0.077352,0.554094
dr-os (oracle),500.0,0.063742,0.023134,0.014404,0.047407,0.061716,0.077617,0.141981
dr-os,500.0,0.063754,0.023147,0.014404,0.047407,0.061716,0.077617,0.141981
switch-dr (oracle),500.0,0.062629,0.024067,0.011868,0.04545,0.061268,0.077598,0.148776
switch-dr,500.0,0.065048,0.034433,0.011868,0.04607,0.062423,0.078507,0.601324
