,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.061487,0.014787,0.025654,0.051428,0.059819,0.070017,0.113966
dr-ibt,500.0,0.061665,0.014935,0.025654,0.051429,0.05984,0.070088,0.113977
dr-ibt (tau=0),500.0,0.111162,0.015903,0.071197,0.101178,0.110506,0.120411,0.16157
dm,500.0,0.170852,0.018251,0.120282,0.158512,0.170305,0.183032,0.222402
dr,500.0,0.061653,0.014834,0.025702,0.051167,0.060365,0.070972,0.1066
mrdr,500.0,0.061656,0.014407,0.025915,0.051156,0.060633,0.070286,0.103529
dr-os (oracle),500.0,0.062204,0.013066,0.025407,0.053096,0.062113,0.070219,0.113098
dr-os,500.0,0.062242,0.013098,0.025407,0.053096,0.062113,0.070266,0.113098
switch-dr (oracle),500.0,0.061721,0.014202,0.02824,0.050972,0.061388,0.070994,0.106996
switch-dr,500.0,0.062256,0.01435,0.02824,0.051036,0.06156,0.071684,0.106996
