,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001607,0.003845,0.0,3e-06,8.6e-05,0.001104,0.028873
dr-ibt,500.0,0.009219,0.030295,0.0,0.000839,0.003548,0.010377,0.633478
dr-ibt (tau=0),500.0,0.005852,0.007629,0.0,0.000644,0.00321,0.00782,0.047898
dm,500.0,0.006843,0.007656,0.0,0.000991,0.003855,0.01068,0.037369
dr,500.0,0.015247,0.089182,0.0,0.000739,0.003755,0.010179,1.0
mrdr,500.0,0.01576,0.08912,0.0,0.000879,0.003703,0.011645,1.0
dr-os (oracle),500.0,0.001757,0.00399,0.0,1e-05,9.2e-05,0.001109,0.030507
dr-os,500.0,0.006243,0.009027,0.0,0.000573,0.002547,0.007562,0.06295
switch-dr (oracle),500.0,0.001443,0.003308,0.0,2.7e-05,0.000199,0.00116,0.029729
switch-dr,500.0,0.011028,0.06479,0.0,0.000716,0.00314,0.008878,1.0
