,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.003139,0.007807,0.0,4e-06,0.000126,0.001794,0.06247
dr-ibt,500.0,0.013496,0.020982,0.0,0.001306,0.006423,0.016908,0.212199
dr-ibt (tau=0),500.0,0.008056,0.011522,0.0,0.000779,0.003556,0.010279,0.086307
dm,500.0,0.009949,0.012544,0.0,0.001002,0.005147,0.014026,0.074735
dr,500.0,0.019155,0.052076,0.0,0.001462,0.007356,0.021417,1.0
mrdr,500.0,0.021415,0.052463,0.0,0.001836,0.008909,0.026268,1.0
dr-os (oracle),500.0,0.003464,0.006927,0.0,2.7e-05,0.000407,0.003721,0.060017
dr-os,500.0,0.014763,0.021713,0.0,0.0014,0.006549,0.018915,0.142112
switch-dr (oracle),500.0,0.003318,0.007986,0.0,3.5e-05,0.000317,0.002121,0.067966
switch-dr,500.0,0.021072,0.054085,0.0,0.001559,0.008152,0.021967,1.0
