,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.005405,0.009675,0.0,1.9e-05,0.0005,0.006154,0.056034
dr-ibt,500.0,0.009569,0.013401,0.0,0.001086,0.00473,0.013489,0.158287
dr-ibt (tau=0),500.0,0.04262,0.045931,0.0,0.006149,0.024095,0.064084,0.239008
dm,500.0,0.005937,0.007363,0.0,0.000573,0.003053,0.007942,0.045964
dr,500.0,0.01053,0.015993,0.0,0.001036,0.004008,0.014038,0.149195
mrdr,500.0,0.012069,0.01838,1e-06,0.000818,0.005569,0.016323,0.174759
dr-os (oracle),500.0,0.001401,0.003351,0.0,1.6e-05,0.000104,0.000935,0.028989
dr-os,500.0,0.008485,0.012468,0.0,0.000976,0.0037,0.010127,0.085676
switch-dr (oracle),500.0,0.000936,0.002446,0.0,9e-06,9.4e-05,0.000531,0.022451
switch-dr,500.0,0.009824,0.013677,0.0,0.000829,0.004184,0.014247,0.124409
