,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001776,0.003762,0.0,4e-06,9e-05,0.001296,0.022255
dr-ibt,500.0,0.005144,0.007936,0.0,0.000391,0.002159,0.006604,0.071267
dr-ibt (tau=0),500.0,0.013132,0.015249,1e-06,0.001001,0.006969,0.020882,0.089681
dm,500.0,0.057261,0.015736,0.013858,0.046472,0.055855,0.067912,0.120745
dr,500.0,0.006639,0.035195,0.0,0.000539,0.002492,0.007112,0.777275
mrdr,500.0,0.005513,0.030879,0.0,0.000383,0.001825,0.005884,0.682993
dr-os (oracle),500.0,0.003497,0.00616,0.0,4.9e-05,0.000613,0.004417,0.040159
dr-os,500.0,0.00502,0.0067,0.0,0.000527,0.002382,0.0071,0.043111
switch-dr (oracle),500.0,0.003289,0.00585,0.0,0.000125,0.000638,0.003701,0.039171
switch-dr,500.0,0.006639,0.035195,0.0,0.000539,0.002492,0.007112,0.777275
