,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.007201,0.013493,0.0,1.7e-05,0.000651,0.008448,0.084631
dr-ibt,500.0,0.015965,0.020805,0.0,0.001664,0.007537,0.022562,0.135519
dr-ibt (tau=0),500.0,0.027954,0.03507,0.0,0.002921,0.013768,0.04026,0.196105
dm,500.0,0.012493,0.014513,0.0,0.002114,0.007401,0.017593,0.083166
dr,500.0,0.015607,0.02255,0.0,0.001466,0.007171,0.020456,0.188937
mrdr,500.0,0.020361,0.027956,0.0,0.002205,0.00923,0.02928,0.229756
dr-os (oracle),500.0,0.004388,0.008478,0.0,5.7e-05,0.00049,0.005106,0.082226
dr-os,500.0,0.015449,0.023805,0.0,0.001719,0.006953,0.019774,0.198723
switch-dr (oracle),500.0,0.002752,0.006289,0.0,3.8e-05,0.000321,0.001815,0.044098
switch-dr,500.0,0.015112,0.0207,0.0,0.001613,0.006689,0.020665,0.170522
