,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000172,0.000456,0.0,0.0,5e-06,9.5e-05,0.004271
dr-ibt,500.0,0.00105,0.00136,0.0,0.000129,0.000536,0.001398,0.008651
dr-ibt (tau=0),500.0,0.003141,0.004857,0.0,0.000106,0.000687,0.004506,0.034024
dm,500.0,0.042304,0.006939,0.024939,0.037473,0.041914,0.046281,0.063375
dr,500.0,0.001377,0.001924,0.0,0.000108,0.000672,0.001962,0.012537
mrdr,500.0,0.000937,0.001261,0.0,9.5e-05,0.000422,0.00133,0.007652
dr-os (oracle),500.0,0.000465,0.001037,0.0,1.6e-05,9.3e-05,0.000377,0.00924
dr-os,500.0,0.001199,0.001665,0.0,0.000121,0.000548,0.001522,0.010615
switch-dr (oracle),500.0,0.000385,0.000916,0.0,1.6e-05,7.1e-05,0.00027,0.008722
switch-dr,500.0,0.001377,0.001924,0.0,0.000108,0.000672,0.001962,0.012537
