,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001882,0.004098,0.0,3e-06,7.2e-05,0.001568,0.027069
dr-ibt,500.0,0.009529,0.012821,0.0,0.001216,0.004033,0.012826,0.080735
dr-ibt (tau=0),500.0,0.005756,0.007604,0.0,0.000484,0.002689,0.008163,0.048039
dm,500.0,0.006116,0.007101,0.0,0.001044,0.003328,0.009179,0.040111
dr,500.0,0.01028,0.016098,0.0,0.001084,0.00417,0.013295,0.186862
mrdr,500.0,0.012853,0.019034,0.0,0.001267,0.00609,0.016401,0.171539
dr-os (oracle),500.0,0.002049,0.004526,0.0,1.7e-05,0.000144,0.001676,0.040906
dr-os,500.0,0.00929,0.013969,0.0,0.000808,0.003692,0.01195,0.108621
switch-dr (oracle),500.0,0.001409,0.003221,0.0,2.4e-05,0.000154,0.000952,0.024155
switch-dr,500.0,0.010172,0.014353,0.0,0.000948,0.0041,0.013231,0.101418
