,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000114,0.000297,0.0,2e-06,1.5e-05,6.8e-05,0.002643
dr-ibt,500.0,0.001663,0.003076,0.0,0.000141,0.000699,0.001963,0.036701
dr-ibt (tau=0),500.0,0.003214,0.00222,0.0,0.00152,0.00274,0.004498,0.012089
dm,500.0,0.004501,0.002505,9e-06,0.002695,0.004189,0.005904,0.013272
dr,500.0,0.002039,0.005514,0.0,0.000168,0.000723,0.00191,0.064483
mrdr,500.0,0.00176,0.00511,0.0,0.000197,0.000681,0.00207,0.077388
dr-os (oracle),500.0,0.000141,0.000438,0.0,4e-06,2.6e-05,8.2e-05,0.005652
dr-os,500.0,0.001275,0.001699,0.0,0.000148,0.00064,0.00175,0.012582
switch-dr (oracle),500.0,0.000147,0.000359,0.0,7e-06,4e-05,0.000138,0.004132
switch-dr,500.0,0.001876,0.00541,0.0,0.000134,0.000618,0.001849,0.054958
