,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.004305,0.008406,0.0,0.000108,0.00072,0.004234,0.070746
dr-ibt,500.0,0.011593,0.028103,0.0,0.000772,0.004177,0.013971,0.460472
dr-ibt (tau=0),500.0,0.039596,0.019759,0.002043,0.024523,0.03844,0.052712,0.12215
dm,500.0,0.050828,0.021691,0.003497,0.035217,0.048839,0.06589,0.130741
dr,500.0,0.012951,0.068275,0.0,0.000958,0.003299,0.010581,1.0
mrdr,500.0,0.01285,0.067238,0.0,0.000745,0.003301,0.010402,1.0
dr-os (oracle),500.0,0.004914,0.009419,0.0,8.8e-05,0.000703,0.004894,0.072701
dr-os,500.0,0.007483,0.010377,0.0,0.000914,0.003253,0.010121,0.072701
switch-dr (oracle),500.0,0.004516,0.008386,0.0,0.000207,0.00111,0.004388,0.071635
switch-dr,500.0,0.012951,0.068275,0.0,0.000958,0.003299,0.010581,1.0
