,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.01213,0.020672,0.0,4.4e-05,0.001597,0.01607,0.128547
dr-ibt,500.0,0.027923,0.041693,0.0,0.003027,0.011488,0.033045,0.332603
dr-ibt (tau=0),500.0,0.036881,0.032991,0.0,0.011379,0.029051,0.053333,0.161602
dm,500.0,0.057658,0.034003,5e-05,0.032395,0.053783,0.077374,0.162919
dr,500.0,0.023064,0.030769,0.0,0.002641,0.011137,0.031345,0.189471
mrdr,500.0,0.025298,0.033087,0.0,0.002541,0.012097,0.033719,0.19654
dr-os (oracle),500.0,0.013037,0.023154,0.0,0.00015,0.00151,0.017678,0.141916
dr-os,500.0,0.022268,0.029604,0.0,0.002521,0.011076,0.030835,0.184946
switch-dr (oracle),500.0,0.0122,0.02099,0.0,0.000424,0.002856,0.013449,0.140406
switch-dr,500.0,0.023064,0.030769,0.0,0.002641,0.011137,0.031345,0.189471
