,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000898,0.002002,0.0,4e-06,6.5e-05,0.000809,0.017548
dr-ibt,500.0,0.002331,0.003566,0.0,0.000271,0.000995,0.002833,0.040453
dr-ibt (tau=0),500.0,0.012193,0.011353,3e-06,0.00354,0.008517,0.017651,0.09477
dm,500.0,0.057471,0.011842,0.029004,0.04956,0.056856,0.065085,0.091637
dr,500.0,0.003086,0.010584,0.0,0.000306,0.00117,0.003245,0.223396
mrdr,500.0,0.002049,0.004852,0.0,0.000165,0.000756,0.002469,0.090123
dr-os (oracle),500.0,0.0018,0.003226,0.0,5.6e-05,0.000419,0.002071,0.020328
dr-os,500.0,0.002571,0.003559,0.0,0.000271,0.001223,0.003435,0.020328
switch-dr (oracle),500.0,0.00164,0.002983,0.0,9.1e-05,0.000419,0.001842,0.019477
switch-dr,500.0,0.003086,0.010584,0.0,0.000306,0.00117,0.003245,0.223396
