,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.004169,0.008034,0.0,3e-05,0.00061,0.004436,0.068482
dr-ibt,500.0,0.009697,0.01368,0.0,0.00079,0.003889,0.012857,0.079947
dr-ibt (tau=0),500.0,0.024104,0.018516,8e-06,0.009933,0.020782,0.034495,0.110949
dm,500.0,0.049132,0.020925,0.003124,0.033053,0.047964,0.062603,0.125627
dr,500.0,0.012767,0.064161,0.0,0.000664,0.003316,0.010666,1.0
mrdr,500.0,0.011752,0.06419,0.0,0.000708,0.002725,0.009034,1.0
dr-os (oracle),500.0,0.004454,0.00874,0.0,9.1e-05,0.000673,0.004739,0.070722
dr-os,500.0,0.00828,0.012458,0.0,0.000673,0.003272,0.010139,0.093222
switch-dr (oracle),500.0,0.004287,0.008174,0.0,0.000181,0.000866,0.004495,0.070202
switch-dr,500.0,0.012767,0.064161,0.0,0.000664,0.003316,0.010666,1.0
