,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.005552,0.010731,0.0,2.4e-05,0.000668,0.005954,0.076938
dr-ibt,500.0,0.014257,0.018733,0.0,0.00176,0.007389,0.018361,0.138896
dr-ibt (tau=0),500.0,0.022913,0.030307,0.0,0.002529,0.009896,0.030347,0.196107
dm,500.0,0.011511,0.01387,0.0,0.001497,0.00611,0.016755,0.080565
dr,500.0,0.015941,0.02286,0.0,0.001643,0.0066,0.020606,0.145224
mrdr,500.0,0.019974,0.030662,0.0,0.001636,0.007632,0.025949,0.280292
dr-os (oracle),500.0,0.004378,0.008897,0.0,2.5e-05,0.000417,0.004175,0.070718
dr-os,500.0,0.015766,0.022746,0.0,0.001627,0.007269,0.020068,0.176276
switch-dr (oracle),500.0,0.003262,0.007895,0.0,3.1e-05,0.00041,0.001868,0.08089
switch-dr,500.0,0.018429,0.02735,1e-06,0.001684,0.007358,0.0234,0.209492
