,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000632,0.001232,0.0,6e-06,7.9e-05,0.00068,0.009537
dr-ibt,500.0,0.001357,0.002018,0.0,0.000149,0.000582,0.001758,0.0154
dr-ibt (tau=0),500.0,0.010752,0.009976,0.000519,0.00434,0.006822,0.014379,0.060196
dm,500.0,0.055326,0.007811,0.03456,0.04986,0.054897,0.060556,0.077989
dr,500.0,0.003636,0.020962,0.0,0.00017,0.000687,0.001918,0.400694
mrdr,500.0,0.003216,0.022297,0.0,9.7e-05,0.000399,0.001308,0.43709
dr-os (oracle),500.0,0.001448,0.002148,0.0,5.1e-05,0.000455,0.002084,0.013466
dr-os,500.0,0.001579,0.002118,0.0,0.000164,0.000737,0.00226,0.013466
switch-dr (oracle),500.0,0.001167,0.001886,0.0,5.8e-05,0.000315,0.001494,0.012648
switch-dr,500.0,0.003636,0.020962,0.0,0.00017,0.000687,0.001918,0.400694
