,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.074143,0.065053,1.9e-05,0.021717,0.060134,0.107399,0.34895
dr-ibt,500.0,0.090209,0.070349,0.00067,0.038665,0.071459,0.124214,0.442794
dr-ibt (tau=0),500.0,0.260398,0.074994,0.074792,0.202472,0.254993,0.315476,0.482755
dm,500.0,0.312183,0.038702,0.184446,0.287954,0.309227,0.3399,0.413625
dr,500.0,0.079033,0.066171,1.8e-05,0.027558,0.062188,0.114742,0.398645
mrdr,500.0,0.080292,0.073104,0.0,0.026798,0.058879,0.114405,0.39517
dr-os (oracle),500.0,0.072384,0.06118,6.1e-05,0.023646,0.058096,0.103823,0.355339
dr-os,500.0,0.072571,0.061856,6.1e-05,0.023646,0.058096,0.103823,0.355339
switch-dr (oracle),500.0,0.069432,0.061835,0.0,0.021819,0.052513,0.101895,0.335319
switch-dr,500.0,0.070892,0.063618,3e-06,0.021945,0.053679,0.103467,0.335319
