,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000126,0.000232,0.0,1e-06,1.5e-05,0.00014,0.002126
dr-ibt,500.0,0.000268,0.000321,0.0,3.8e-05,0.000156,0.000387,0.002476
dr-ibt (tau=0),500.0,0.004438,0.001443,0.000233,0.003482,0.004645,0.005559,0.007438
dm,500.0,0.62737,0.010828,0.590388,0.620197,0.627897,0.634355,0.659405
dr,500.0,0.003011,0.004568,0.0,0.000249,0.001205,0.004143,0.050128
mrdr,500.0,0.00031,0.000387,0.0,4.5e-05,0.000164,0.000443,0.002596
dr-os (oracle),500.0,0.002917,0.004354,0.0,0.000257,0.00115,0.003756,0.045269
dr-os,500.0,0.002917,0.004354,0.0,0.000257,0.00115,0.003756,0.045269
switch-dr (oracle),500.0,0.001915,0.003157,0.0,9.2e-05,0.000501,0.002195,0.018188
switch-dr,500.0,0.003011,0.004568,0.0,0.000249,0.001205,0.004143,0.050128
