,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.016142,0.026747,0.0,0.00069,0.004975,0.022538,0.304387
dr-ibt,500.0,0.018288,0.028676,0.0,0.001514,0.007052,0.025459,0.374641
dr-ibt (tau=0),500.0,0.08709,0.05641,0.000837,0.043956,0.076177,0.119122,0.412763
dm,500.0,0.604983,0.037361,0.506376,0.578428,0.607219,0.631669,0.704267
dr,500.0,0.029406,0.04018,0.0,0.00295,0.014149,0.04283,0.3157
mrdr,500.0,0.016482,0.024903,0.0,0.001249,0.007369,0.020977,0.232982
dr-os (oracle),500.0,0.027751,0.034604,0.0,0.002628,0.013602,0.042402,0.188942
dr-os,500.0,0.028953,0.039151,0.0,0.002628,0.013602,0.042402,0.29913
switch-dr (oracle),500.0,0.019969,0.029196,0.0,0.001459,0.0068,0.027723,0.184814
switch-dr,500.0,0.029406,0.04018,0.0,0.00295,0.014149,0.04283,0.3157
