,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.045629,0.015691,0.011643,0.033654,0.043949,0.055098,0.128504
dr-ibt,500.0,0.058059,0.015939,0.024139,0.046535,0.056901,0.068371,0.153512
dr-ibt (tau=0),500.0,0.046446,0.01649,0.011643,0.033844,0.044669,0.055769,0.128504
dm,500.0,0.314343,0.011475,0.284643,0.307008,0.314504,0.321715,0.354542
dr,500.0,0.059375,0.017947,0.013612,0.046887,0.0586,0.070485,0.118251
mrdr,500.0,0.05901,0.01645,0.016913,0.047172,0.058058,0.068965,0.118665
dr-os (oracle),500.0,0.060701,0.018477,0.015571,0.047573,0.059386,0.072368,0.115464
dr-os,500.0,0.060701,0.018477,0.015571,0.047573,0.059386,0.072368,0.115464
switch-dr (oracle),500.0,0.058785,0.018345,0.013099,0.046002,0.057004,0.070281,0.120772
switch-dr,500.0,0.058982,0.018443,0.013615,0.046002,0.05725,0.070638,0.120772
