,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000478,0.000959,0.0,3e-06,4.4e-05,0.000614,0.010705
dr-ibt,500.0,0.001422,0.00233,0.0,0.00013,0.000648,0.00172,0.02356
dr-ibt (tau=0),500.0,0.003546,0.002006,0.0,0.001926,0.003839,0.005156,0.010705
dm,500.0,0.631573,0.021448,0.561237,0.618182,0.631133,0.646401,0.687682
dr,500.0,0.012661,0.018275,0.0,0.001252,0.005449,0.01594,0.137145
mrdr,500.0,0.003634,0.005293,0.0,0.000238,0.001351,0.005261,0.037835
dr-os (oracle),500.0,0.012436,0.017826,0.0,0.001414,0.005682,0.015835,0.12783
dr-os,500.0,0.012436,0.017826,0.0,0.001414,0.005682,0.015835,0.12783
switch-dr (oracle),500.0,0.009912,0.014944,0.0,0.000967,0.004287,0.011905,0.112323
switch-dr,500.0,0.012661,0.018275,0.0,0.001252,0.005449,0.01594,0.137145
