,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.043878,0.014891,0.013062,0.033166,0.041964,0.053135,0.096386
dr-ibt,500.0,0.056049,0.014843,0.020986,0.045279,0.054157,0.064742,0.107357
dr-ibt (tau=0),500.0,0.044807,0.015866,0.013062,0.033336,0.042581,0.054496,0.105619
dm,500.0,0.310297,0.01227,0.277634,0.301134,0.310541,0.317953,0.349536
dr,500.0,0.057636,0.016956,0.015225,0.04506,0.055816,0.068929,0.110194
mrdr,500.0,0.057164,0.015101,0.01422,0.046598,0.055991,0.066668,0.108388
dr-os (oracle),500.0,0.059474,0.018613,0.019653,0.046598,0.057959,0.070991,0.129387
dr-os,500.0,0.059474,0.018613,0.019653,0.046598,0.057959,0.070991,0.129387
switch-dr (oracle),500.0,0.057683,0.017535,0.015827,0.04454,0.057415,0.069077,0.108352
switch-dr,500.0,0.057706,0.017537,0.015827,0.04454,0.057415,0.069077,0.108352
