,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.01397,0.021025,0.0,0.0004,0.004099,0.018885,0.148112
dr-ibt,500.0,0.014943,0.021125,0.0,0.001473,0.005228,0.020252,0.139858
dr-ibt (tau=0),500.0,0.022026,0.027099,0.0,0.002823,0.011664,0.03183,0.180443
dm,500.0,0.595876,0.035989,0.484055,0.570125,0.597366,0.622363,0.699153
dr,500.0,0.026392,0.036759,0.0,0.002265,0.011087,0.034964,0.2242
mrdr,500.0,0.014759,0.021367,0.0,0.001778,0.006629,0.018785,0.168704
dr-os (oracle),500.0,0.025185,0.034008,0.0,0.002461,0.010821,0.033009,0.221752
dr-os,500.0,0.025915,0.036135,0.0,0.002461,0.010821,0.033009,0.221752
switch-dr (oracle),500.0,0.019353,0.031302,0.0,0.001358,0.007119,0.021151,0.218961
switch-dr,500.0,0.026392,0.036759,0.0,0.002265,0.011087,0.034964,0.2242
