,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.044177,0.014986,0.012728,0.033005,0.043374,0.054449,0.096529
dr-ibt,500.0,0.05605,0.015143,0.021765,0.045145,0.054697,0.066021,0.106483
dr-ibt (tau=0),500.0,0.045166,0.016023,0.012728,0.033292,0.043728,0.054894,0.107029
dm,500.0,0.316608,0.012501,0.282816,0.30717,0.316576,0.324824,0.354496
dr,500.0,0.058474,0.017152,0.012617,0.045847,0.058045,0.070269,0.119349
mrdr,500.0,0.058106,0.016157,0.02364,0.045741,0.056824,0.068422,0.116067
dr-os (oracle),500.0,0.061722,0.017862,0.019423,0.049383,0.060646,0.07339,0.121432
dr-os,500.0,0.061722,0.017862,0.019423,0.049383,0.060646,0.07339,0.121432
switch-dr (oracle),500.0,0.059527,0.018297,0.016386,0.0469,0.059737,0.070041,0.147004
switch-dr,500.0,0.059602,0.018329,0.016386,0.0469,0.059859,0.070107,0.147004
