,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.041843,0.020456,0.003633,0.026124,0.04155,0.055883,0.115246
dr-ibt,500.0,0.059168,0.016296,0.013795,0.046861,0.057733,0.069357,0.11625
dr-ibt (tau=0),500.0,0.049509,0.030611,0.003633,0.026557,0.043843,0.065771,0.181329
dm,500.0,0.316046,0.011364,0.285192,0.308006,0.315812,0.323705,0.353242
dr,500.0,0.059081,0.017483,0.011803,0.046518,0.058259,0.069902,0.128441
mrdr,500.0,0.058263,0.015463,0.011233,0.047687,0.057443,0.068198,0.112384
dr-os (oracle),500.0,0.062124,0.01776,0.017666,0.050228,0.061559,0.074368,0.116316
dr-os,500.0,0.062124,0.01776,0.017666,0.050228,0.061559,0.074368,0.116316
switch-dr (oracle),500.0,0.059272,0.017418,0.014424,0.046665,0.058797,0.06934,0.125615
switch-dr,500.0,0.059365,0.017431,0.014424,0.046811,0.058896,0.069435,0.125615
