,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.047616,0.016457,0.011585,0.035215,0.04638,0.056941,0.113741
dr-ibt,500.0,0.059763,0.016485,0.021756,0.047926,0.058387,0.070159,0.144261
dr-ibt (tau=0),500.0,0.04855,0.017222,0.011585,0.035361,0.046875,0.058595,0.115196
dm,500.0,0.319182,0.011661,0.285217,0.311272,0.319349,0.326697,0.359399
dr,500.0,0.059918,0.018707,0.012295,0.046954,0.058212,0.072511,0.130371
mrdr,500.0,0.059441,0.016104,0.023283,0.049319,0.058466,0.068806,0.129929
dr-os (oracle),500.0,0.060871,0.018414,0.012148,0.048428,0.060162,0.072433,0.114721
dr-os,500.0,0.060871,0.018414,0.012148,0.048428,0.060162,0.072433,0.114721
switch-dr (oracle),500.0,0.060794,0.01848,0.017713,0.0474,0.058447,0.072067,0.128786
switch-dr,500.0,0.060862,0.018508,0.017713,0.0474,0.058447,0.072149,0.128786
