,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000452,0.001036,0.0,2e-06,5.3e-05,0.000498,0.013602
dr-ibt,500.0,0.001243,0.001991,0.0,0.000137,0.00059,0.00155,0.019887
dr-ibt (tau=0),500.0,0.003757,0.002117,0.0,0.002094,0.00411,0.005375,0.013602
dm,500.0,0.622114,0.022603,0.546753,0.606886,0.622341,0.638287,0.683224
dr,500.0,0.013074,0.017844,0.0,0.001368,0.00612,0.017242,0.150286
mrdr,500.0,0.003813,0.005147,0.0,0.000404,0.001686,0.004442,0.028208
dr-os (oracle),500.0,0.012738,0.017102,0.0,0.001337,0.00606,0.017014,0.121901
dr-os,500.0,0.012777,0.017369,0.0,0.001337,0.00606,0.017014,0.141201
switch-dr (oracle),500.0,0.008866,0.013828,0.0,0.000578,0.00306,0.011246,0.102974
switch-dr,500.0,0.013074,0.017844,0.0,0.001368,0.00612,0.017242,0.150286
