,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,4.3e-05,0.000186,0.0,0.0,1e-06,1.6e-05,0.003332
dr-ibt,500.0,0.00015,0.000203,0.0,2.1e-05,7.4e-05,0.000207,0.001877
dr-ibt (tau=0),500.0,0.000653,0.001698,0.0,0.000135,0.000264,0.000433,0.021619
dm,500.0,0.64043,0.011074,0.605928,0.633364,0.640743,0.647752,0.675054
dr,500.0,0.003116,0.004568,0.0,0.000391,0.001294,0.004059,0.032616
mrdr,500.0,0.000253,0.000389,0.0,2.6e-05,0.000109,0.000299,0.00334
dr-os (oracle),500.0,0.003181,0.004602,0.0,0.000344,0.001326,0.004097,0.032173
dr-os,500.0,0.003181,0.004602,0.0,0.000344,0.001326,0.004097,0.032173
switch-dr (oracle),500.0,0.002375,0.003942,0.0,0.000161,0.000754,0.002846,0.029659
switch-dr,500.0,0.003116,0.004568,0.0,0.000391,0.001294,0.004059,0.032616
