,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.073014,0.060888,0.0,0.024286,0.061557,0.103481,0.318575
dr-ibt,500.0,0.089467,0.064333,0.000161,0.042265,0.078085,0.122216,0.411261
dr-ibt (tau=0),500.0,0.276677,0.038944,0.162666,0.249729,0.274481,0.301162,0.394708
dm,500.0,0.31486,0.041331,0.210641,0.285081,0.311768,0.34142,0.458877
dr,500.0,0.074216,0.06177,4e-06,0.024709,0.062463,0.108672,0.319907
mrdr,500.0,0.078539,0.070931,5e-06,0.020587,0.058606,0.116375,0.333406
dr-os (oracle),500.0,0.078435,0.064286,3e-06,0.028612,0.06648,0.111477,0.388515
dr-os,500.0,0.078435,0.064286,3e-06,0.028612,0.06648,0.111477,0.388515
switch-dr (oracle),500.0,0.072739,0.05904,0.0,0.025764,0.062546,0.106109,0.345637
switch-dr,500.0,0.074084,0.061134,0.0,0.025764,0.063672,0.107289,0.34714
