,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.071143,0.059865,1e-06,0.026653,0.054012,0.103646,0.372484
dr-ibt,500.0,0.087169,0.060811,7.9e-05,0.039428,0.074289,0.118715,0.310022
dr-ibt (tau=0),500.0,0.248017,0.07374,0.069324,0.194102,0.243845,0.295899,0.446075
dm,500.0,0.313784,0.041136,0.193065,0.284418,0.313604,0.342784,0.43519
dr,500.0,0.076161,0.060109,1.1e-05,0.027452,0.063541,0.112425,0.295155
mrdr,500.0,0.078937,0.072215,1.1e-05,0.021252,0.058722,0.115735,0.391755
dr-os (oracle),500.0,0.077095,0.063058,0.0,0.026008,0.063804,0.113373,0.35712
dr-os,500.0,0.077142,0.063246,0.0,0.026008,0.063804,0.113373,0.367944
switch-dr (oracle),500.0,0.074223,0.062886,0.0,0.024857,0.060501,0.1102,0.35517
switch-dr,500.0,0.076284,0.065669,0.0,0.025514,0.062098,0.112093,0.405073
