,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.01391,0.024813,0.0,0.0002,0.00412,0.017187,0.240891
dr-ibt,500.0,0.024051,0.060986,0.0,0.002618,0.009833,0.026969,1.0
dr-ibt (tau=0),500.0,0.021241,0.028731,0.0,0.002204,0.011638,0.028186,0.256781
dm,500.0,0.208863,0.059122,0.04204,0.165439,0.209469,0.247387,0.41398
dr,500.0,0.039472,0.098238,0.0,0.002549,0.01241,0.039979,1.0
mrdr,500.0,0.029843,0.076385,0.0,0.002438,0.010882,0.027967,1.0
dr-os (oracle),500.0,0.016842,0.031343,0.0,0.000283,0.002508,0.019461,0.258571
dr-os,500.0,0.028197,0.042271,1e-06,0.002319,0.012735,0.038604,0.447485
switch-dr (oracle),500.0,0.017076,0.030434,0.0,0.000662,0.003467,0.019084,0.232535
switch-dr,500.0,0.039472,0.098238,0.0,0.002549,0.01241,0.039979,1.0
