,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.002081,0.004443,0.0,5e-06,0.000116,0.002419,0.046719
dr-ibt,500.0,0.005453,0.007533,0.0,0.000598,0.002452,0.007399,0.053638
dr-ibt (tau=0),500.0,0.011336,0.010856,0.0,0.002244,0.007679,0.019688,0.074235
dm,500.0,0.268416,0.051603,0.125004,0.232538,0.269954,0.305637,0.405104
dr,500.0,0.020231,0.038352,1e-06,0.001368,0.007294,0.023419,0.406517
mrdr,500.0,0.013257,0.031809,0.0,0.000835,0.004209,0.011135,0.32709
dr-os (oracle),500.0,0.006293,0.011349,0.0,0.000205,0.001132,0.006093,0.082514
dr-os,500.0,0.015337,0.022293,1e-06,0.001131,0.007092,0.02109,0.17253
switch-dr (oracle),500.0,0.006314,0.010816,0.0,0.000291,0.001592,0.006598,0.080119
switch-dr,500.0,0.020231,0.038352,1e-06,0.001368,0.007294,0.023419,0.406517
