,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.002288,0.004729,0.0,1.1e-05,0.000244,0.002567,0.052221
dr-ibt,500.0,0.005436,0.013431,0.0,0.000477,0.002426,0.006427,0.232133
dr-ibt (tau=0),500.0,0.009882,0.01331,0.0,0.001528,0.006341,0.01473,0.16312
dm,500.0,0.252802,0.051289,0.122486,0.216973,0.253843,0.288348,0.416131
dr,500.0,0.019128,0.042797,0.0,0.001378,0.006215,0.021589,0.603708
mrdr,500.0,0.011749,0.030802,0.0,0.000724,0.003325,0.009291,0.369488
dr-os (oracle),500.0,0.006105,0.012917,0.0,0.000111,0.000735,0.004241,0.098513
dr-os,500.0,0.014633,0.023603,0.0,0.001138,0.005643,0.018986,0.279505
switch-dr (oracle),500.0,0.006004,0.012415,0.0,0.000179,0.00084,0.00479,0.096588
switch-dr,500.0,0.019128,0.042797,0.0,0.001378,0.006215,0.021589,0.603708
