,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001043,0.002034,0.0,3e-06,5.1e-05,0.001343,0.018283
dr-ibt,500.0,0.002278,0.00302,0.0,0.000234,0.001058,0.003186,0.017942
dr-ibt (tau=0),500.0,0.025902,0.018059,0.0,0.011828,0.022933,0.036697,0.098608
dm,500.0,0.042697,0.012559,0.009313,0.033164,0.042014,0.049339,0.081563
dr,500.0,0.002785,0.003713,0.0,0.000304,0.001333,0.003748,0.030658
mrdr,500.0,0.002093,0.002899,0.0,0.000203,0.000993,0.002699,0.01842
dr-os (oracle),500.0,0.000945,0.002176,0.0,6e-06,6e-05,0.000454,0.016488
dr-os,500.0,0.002702,0.00361,0.0,0.000251,0.001285,0.003742,0.029836
switch-dr (oracle),500.0,0.001006,0.002063,0.0,3.4e-05,0.000209,0.000816,0.01608
switch-dr,500.0,0.002785,0.003713,0.0,0.000304,0.001333,0.003748,0.030658
