,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00023,0.000538,0.0,5e-06,2.4e-05,0.000153,0.00405
dr-ibt,500.0,0.000693,0.000931,0.0,8.5e-05,0.000336,0.000976,0.006253
dr-ibt (tau=0),500.0,0.004112,0.002364,1e-06,0.002353,0.003807,0.00542,0.013348
dm,500.0,0.007408,0.002929,0.001523,0.005354,0.00718,0.00901,0.017927
dr,500.0,0.000684,0.000937,0.0,7.8e-05,0.00033,0.000878,0.006293
mrdr,500.0,0.000645,0.000865,0.0,6.9e-05,0.000314,0.000842,0.005175
dr-os (oracle),500.0,0.000195,0.000493,0.0,2e-06,1.3e-05,0.000102,0.004476
dr-os,500.0,0.000569,0.000766,0.0,5.6e-05,0.000248,0.000796,0.00591
switch-dr (oracle),500.0,0.000185,0.000448,0.0,5e-06,3e-05,0.000122,0.004073
switch-dr,500.0,0.000653,0.000952,0.0,6.1e-05,0.00025,0.000856,0.006385
