,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000453,0.000871,0.0,1e-06,8.8e-05,0.000506,0.006301
dr-ibt,500.0,0.000889,0.001213,0.0,0.0001,0.00044,0.001257,0.008643
dr-ibt (tau=0),500.0,0.003438,0.003113,0.0,0.001006,0.002677,0.004944,0.017195
dm,500.0,0.005169,0.002506,5.5e-05,0.003325,0.004886,0.006736,0.019002
dr,500.0,0.00095,0.001243,0.0,8.1e-05,0.000441,0.00139,0.008568
mrdr,500.0,0.000913,0.001206,0.0,8.9e-05,0.000425,0.001272,0.00835
dr-os (oracle),500.0,8.2e-05,0.00025,0.0,2e-06,9e-06,3.7e-05,0.002714
dr-os,500.0,0.000811,0.001046,0.0,0.000101,0.000427,0.001131,0.00763
switch-dr (oracle),500.0,0.000102,0.000236,0.0,5e-06,3.1e-05,8.7e-05,0.002407
switch-dr,500.0,0.000977,0.001281,0.0,0.000121,0.000484,0.0014,0.008281
