,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000771,0.001608,0.0,2e-06,0.000114,0.0008,0.013767
dr-ibt,500.0,0.001461,0.002125,0.0,0.000189,0.000721,0.001833,0.015882
dr-ibt (tau=0),500.0,0.006588,0.007038,0.0,0.001321,0.004385,0.009312,0.040132
dm,500.0,0.006059,0.003594,2.7e-05,0.003311,0.005448,0.008209,0.01938
dr,500.0,0.001468,0.002021,0.0,0.000156,0.000694,0.001924,0.011438
mrdr,500.0,0.001361,0.001772,0.0,0.000143,0.000698,0.001808,0.009915
dr-os (oracle),500.0,0.000218,0.000653,0.0,2e-06,1.5e-05,5.8e-05,0.006054
dr-os,500.0,0.001552,0.002231,0.0,0.000218,0.000765,0.002021,0.016618
switch-dr (oracle),500.0,0.000219,0.000483,0.0,7e-06,3.6e-05,0.000171,0.003762
switch-dr,500.0,0.00154,0.002234,0.0,0.000127,0.000716,0.002039,0.019808
