,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000684,0.001225,0.0,5e-06,9e-05,0.000851,0.008945
dr-ibt,500.0,0.001216,0.001649,0.0,0.000118,0.000551,0.001693,0.012679
dr-ibt (tau=0),500.0,0.025199,0.015211,0.0,0.013739,0.023026,0.032914,0.085655
dm,500.0,0.048246,0.009345,0.024972,0.041186,0.048001,0.054769,0.083937
dr,500.0,0.00177,0.00235,0.0,0.000188,0.00078,0.00252,0.013521
mrdr,500.0,0.001224,0.001699,0.0,0.000121,0.000541,0.001673,0.010476
dr-os (oracle),500.0,0.000525,0.001325,0.0,1e-05,6.2e-05,0.0003,0.013949
dr-os,500.0,0.00168,0.002228,0.0,0.000186,0.000714,0.002331,0.013949
switch-dr (oracle),500.0,0.000533,0.001236,0.0,2.7e-05,0.000125,0.000427,0.013521
switch-dr,500.0,0.00177,0.00235,0.0,0.000188,0.00078,0.00252,0.013521
