,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000616,0.000864,0.0,2.3e-05,0.000255,0.000877,0.006379
dr-ibt,500.0,0.000708,0.0009,0.0,9.4e-05,0.000359,0.000942,0.006692
dr-ibt (tau=0),500.0,0.027204,0.012827,0.00129,0.017586,0.026065,0.035012,0.087143
dm,500.0,0.042285,0.006129,0.024173,0.037772,0.041834,0.046587,0.05935
dr,500.0,0.000957,0.001291,0.0,0.000105,0.000413,0.001262,0.008391
mrdr,500.0,0.000711,0.000946,0.0,7.5e-05,0.00038,0.000901,0.005972
dr-os (oracle),500.0,0.000123,0.000319,0.0,3e-06,1.9e-05,8.3e-05,0.003842
dr-os,500.0,0.000867,0.001184,0.0,0.000102,0.000367,0.001132,0.007929
switch-dr (oracle),500.0,0.000239,0.000355,0.0,9e-06,8.5e-05,0.000335,0.003584
switch-dr,500.0,0.000957,0.001291,0.0,0.000105,0.000413,0.001262,0.008391
