,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001099,0.00197,0.0,1e-06,0.000185,0.001392,0.018182
dr-ibt,500.0,0.003418,0.004218,0.0,0.000459,0.001864,0.004954,0.031071
dr-ibt (tau=0),500.0,0.002883,0.003692,0.0,0.000269,0.001549,0.003943,0.025526
dm,500.0,0.005886,0.004916,1e-06,0.002035,0.005032,0.008197,0.027499
dr,500.0,0.003108,0.004033,0.0,0.000377,0.001566,0.00427,0.027216
mrdr,500.0,0.003064,0.004039,0.0,0.000357,0.001586,0.00425,0.025904
dr-os (oracle),500.0,0.000392,0.001278,0.0,3e-06,1.9e-05,7.3e-05,0.014004
dr-os,500.0,0.003064,0.004078,0.0,0.000421,0.001514,0.004135,0.025866
switch-dr (oracle),500.0,0.000394,0.001063,0.0,1.1e-05,5.9e-05,0.000251,0.008174
switch-dr,500.0,0.003186,0.004507,0.0,0.000246,0.001369,0.004303,0.029484
