,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000336,0.000901,0.0,1e-06,1.4e-05,0.000166,0.007953
dr-ibt,500.0,0.003386,0.00473,0.0,0.000358,0.001592,0.004407,0.030733
dr-ibt (tau=0),500.0,0.002429,0.002921,0.0,0.000306,0.00126,0.0036,0.016391
dm,500.0,0.004764,0.004885,0.0,0.001048,0.002942,0.007504,0.030187
dr,500.0,0.003518,0.004653,0.0,0.000352,0.001703,0.005049,0.03417
mrdr,500.0,0.003435,0.004529,0.0,0.000364,0.001803,0.004624,0.030643
dr-os (oracle),500.0,0.000331,0.001157,0.0,2e-06,1.5e-05,8.3e-05,0.019961
dr-os,500.0,0.003094,0.004638,0.0,0.000323,0.001549,0.003828,0.045595
switch-dr (oracle),500.0,0.000377,0.001038,0.0,8e-06,4.1e-05,0.000235,0.010012
switch-dr,500.0,0.003215,0.00464,0.0,0.000313,0.001505,0.004096,0.031248
