,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001202,0.003034,0.0,1e-06,8.1e-05,0.000961,0.035465
dr-ibt,500.0,0.00519,0.007141,0.0,0.000599,0.002523,0.007028,0.045414
dr-ibt (tau=0),500.0,0.003651,0.006305,0.0,0.000345,0.001362,0.004184,0.055508
dm,500.0,0.044008,0.0175,0.008533,0.031318,0.04269,0.055008,0.098056
dr,500.0,0.005645,0.00786,0.0,0.000649,0.002909,0.007092,0.062477
mrdr,500.0,0.004376,0.006278,0.0,0.000461,0.001882,0.005531,0.048571
dr-os (oracle),500.0,0.002677,0.005809,0.0,2.5e-05,0.000202,0.002575,0.04541
dr-os,500.0,0.005565,0.007744,0.0,0.000654,0.002996,0.007126,0.061032
switch-dr (oracle),500.0,0.002908,0.005597,0.0,0.000207,0.000896,0.002954,0.045076
switch-dr,500.0,0.005645,0.00786,0.0,0.000649,0.002909,0.007092,0.062477
