,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000129,0.000311,0.0,0.0,5e-06,9.2e-05,0.002957
dr-ibt,500.0,0.00043,0.000586,0.0,4.5e-05,0.000202,0.000581,0.004467
dr-ibt (tau=0),500.0,0.001347,0.001971,0.0,8.8e-05,0.000599,0.001601,0.010884
dm,500.0,0.046423,0.006479,0.030955,0.04183,0.045987,0.050594,0.06578
dr,500.0,0.000749,0.000976,0.0,8.2e-05,0.000382,0.001069,0.00689
mrdr,500.0,0.000463,0.000621,0.0,4.6e-05,0.000209,0.000616,0.003883
dr-os (oracle),500.0,0.000267,0.000566,0.0,4e-06,2.5e-05,0.000174,0.003646
dr-os,500.0,0.000708,0.000917,0.0,7.7e-05,0.000351,0.001014,0.00645
switch-dr (oracle),500.0,0.000262,0.000501,0.0,1.5e-05,7.2e-05,0.000227,0.003408
switch-dr,500.0,0.000749,0.000976,0.0,8.2e-05,0.000382,0.001069,0.00689
