,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000413,0.000824,0.0,2e-06,5.3e-05,0.000483,0.008736
dr-ibt,500.0,0.000593,0.000905,0.0,5.7e-05,0.000259,0.000741,0.008504
dr-ibt (tau=0),500.0,0.010464,0.010987,0.0,0.001613,0.007453,0.01546,0.055885
dm,500.0,0.006853,0.003189,0.000934,0.004475,0.006243,0.008785,0.018977
dr,500.0,0.00067,0.00091,0.0,7.7e-05,0.000308,0.00091,0.00682
mrdr,500.0,0.000619,0.000852,0.0,7.4e-05,0.000282,0.000829,0.006438
dr-os (oracle),500.0,0.000167,0.00046,0.0,2e-06,1.1e-05,7.3e-05,0.004602
dr-os,500.0,0.000549,0.000802,0.0,5.8e-05,0.000236,0.000723,0.005507
switch-dr (oracle),500.0,0.000164,0.000333,0.0,6e-06,3.2e-05,0.000117,0.002555
switch-dr,500.0,0.000665,0.00101,0.0,6.4e-05,0.000302,0.000873,0.009047
