,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000446,0.000699,0.0,1e-05,0.000143,0.000623,0.005764
dr-ibt,500.0,0.000554,0.00073,0.0,6.6e-05,0.000296,0.000744,0.005606
dr-ibt (tau=0),500.0,0.032044,0.013352,0.001791,0.022605,0.030564,0.040241,0.078639
dm,500.0,0.04248,0.006186,0.02756,0.0377,0.042149,0.046442,0.06005
dr,500.0,0.000792,0.00102,0.0,6.9e-05,0.000388,0.001147,0.007438
mrdr,500.0,0.000566,0.000743,0.0,7.2e-05,0.000272,0.000775,0.004689
dr-os (oracle),500.0,0.000157,0.000371,0.0,3e-06,2e-05,9.3e-05,0.003119
dr-os,500.0,0.000733,0.000944,0.0,6.5e-05,0.000346,0.001012,0.006981
switch-dr (oracle),500.0,0.000211,0.000341,0.0,1.1e-05,7.4e-05,0.000249,0.002774
switch-dr,500.0,0.000792,0.00102,0.0,6.9e-05,0.000388,0.001147,0.007438
