,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.0014,0.003079,0.0,4e-06,0.000133,0.001562,0.028425
dr-ibt,500.0,0.002602,0.004048,0.0,0.000253,0.001083,0.003261,0.033244
dr-ibt (tau=0),500.0,0.025015,0.018738,1e-06,0.010337,0.021226,0.035627,0.096207
dm,500.0,0.042744,0.012741,0.00377,0.034038,0.042374,0.050561,0.087092
dr,500.0,0.003222,0.005207,0.0,0.000277,0.001263,0.003947,0.048424
mrdr,500.0,0.002357,0.00384,0.0,0.000231,0.000945,0.002881,0.032045
dr-os (oracle),500.0,0.000912,0.002278,0.0,8e-06,6e-05,0.000433,0.017347
dr-os,500.0,0.003109,0.005027,0.0,0.000254,0.001177,0.003914,0.047237
switch-dr (oracle),500.0,0.001045,0.002142,0.0,5.3e-05,0.000265,0.000999,0.016844
switch-dr,500.0,0.003222,0.005207,0.0,0.000277,0.001263,0.003947,0.048424
