,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001056,0.002119,0.0,1e-06,0.000112,0.00102,0.014057
dr-ibt,500.0,0.002761,0.003741,0.0,0.000299,0.001234,0.003558,0.020131
dr-ibt (tau=0),500.0,0.002671,0.003785,0.0,0.000241,0.001244,0.003447,0.022749
dm,500.0,0.005544,0.00467,0.0,0.001868,0.004455,0.00813,0.028066
dr,500.0,0.002995,0.004679,0.0,0.000268,0.001377,0.003812,0.046854
mrdr,500.0,0.002852,0.004391,0.0,0.00028,0.001293,0.00348,0.04161
dr-os (oracle),500.0,0.000567,0.001696,0.0,3e-06,2.4e-05,0.000164,0.016745
dr-os,500.0,0.002771,0.00402,0.0,0.000239,0.001183,0.00364,0.029054
switch-dr (oracle),500.0,0.000491,0.001124,0.0,1.1e-05,7.4e-05,0.000408,0.009993
switch-dr,500.0,0.003003,0.004081,0.0,0.000312,0.001588,0.004078,0.026945
